id,text,label
1140,Please share the notes,0
1141,Please review this document,0
1142,Please review this document,0
1143,I agree with your suggestion,0
1144,Thank you for your help,0
1145,Have a wonderful day,0
1146,The meeting is scheduled for tomorrow,0
1147,Please send me the report,0
1148,Your project looks good,0
1149,Please share the notes,0
1150,Please send me the report,0
1151,The meeting is scheduled for tomorrow,0
1152,Let us discuss the project,0
1153,The assignment deadline is Friday,0
1154,I appreciate your support,0
1155,Please review this document,0
1156,Can you explain this topic?,0
1157,Can you explain this topic?,0
1158,I appreciate your support,0
1159,Your project looks good,0
1160,Please share the notes,0
1161,Can you explain this topic?,0
1162,I appreciate your support,0
1163,I appreciate your support,0
1164,Please share the notes,0
1165,Please review this document,0
1166,The meeting is scheduled for tomorrow,0
1167,The meeting is scheduled for tomorrow,0
1168,The meeting is scheduled for tomorrow,0
1169,Please send me the report,0
1170,Have a wonderful day,0
1171,Please share the notes,0
1172,Please send me the report,0
1173,I appreciate your support,0
1174,Have a wonderful day,0
1175,Please share the notes,0
1176,Can you explain this topic?,0
1177,I agree with your suggestion,0
1178,Please share the notes,0
1179,Can you help me with this project?,0
1180,Please send me the report,0
1181,Please send me the report,0
1182,Please share the notes,0
1183,Please review this document,0
1184,The meeting is scheduled for tomorrow,0
1185,Please share the notes,0
1186,The assignment deadline is Friday,0
1187,I agree with your suggestion,0
1188,Can you explain this topic?,0
1189,The assignment deadline is Friday,0
1190,The meeting is scheduled for tomorrow,0
1191,Have a wonderful day,0
1192,The class starts at ten AM,0
1193,Please send me the report,0
1194,The meeting is scheduled for tomorrow,0
1195,Please send me the report,0
1196,I appreciate your support,0
1197,Can you help me with this project?,0
1198,The meeting is scheduled for tomorrow,0
1199,Thank you for your help,0
1200,Please share the notes,0
